ts;date;gfs_ugrd;gfs_vgrd;gfs_gust;ecmwf_ugrd;ecmwf_vgrd;ecmwf_gust;icon_ugrd;icon_vgrd;icon_gust
1551945600;"07.03.2019 08:00";-1.8828432;-6.258476;6.7711016;-2.3140707712;-6.5590051328001;13.1412227904;-2.3147947136;-6.5076053952;9.8051151296
1551949200;"07.03.2019 09:00";-2.62235008;-5.82722976;6.6185376;-3.8691232;-6.7077652672001;13.982559488;-4.087776096;-6.4809834048;10.933127104
1551952800;"07.03.2019 10:00";-3.07350384;-5.43190496;6.851072;-4.270247744;-6.6031679232001;14.0489977344;-4.8311760128;-5.955373504;11.191209504
1551956400;"07.03.2019 11:00";-3.33177056;-4.98855104;6.4520672;-4.683357792;-6.4953602752001;14.1174102336;-4.4604005632;-4.7789370304;10.8336916416
1551960000;"07.03.2019 12:00";-3.40418336;-4.69067808;6.4094688;-5.0844017983999;-6.3907629312001;14.1838650112;-4.4267749504;-4.8891277504;9.4121102208
1551963600;"07.03.2019 13:00";-3.3632824;-5.28295104;7.1885688;-4.549641504;-6.8683321088001;13.841799584;-4.5204462208;-5.0531040128;9.7716169472
1551967200;"07.03.2019 14:00";-3.11954192;-6.3340856;8.3506408;-3.9986132288;-7.3603567552001;13.4894676928;-4.617012256;-5.7053470848;10.5816068736
1551970800;"07.03.2019 15:00";-2.44046128;-7.39199984;9.0163064;-3.4638681344;-7.8380078016001;15.0755429888;-3.6109262656;-8.46177472;12.978449888
1551974400;"07.03.2019 16:00";-1.39370144;-7.67719312;9.5062736;-1.8900306304;-7.6581040384001;14.4060444544;-2.4243272576;-11.2065988224;16.3434553152
1551978000;"07.03.2019 17:00";-0.34732751999999;-6.72878416;9.1509424;-0.26847317120002;-7.4727437632001;13.716282784;-0.55222884480002;-11.3860395456;16.7603529088
1551981600;"07.03.2019 18:00";0.31125264000001;-6.57661648;8.8098736;1.3053643328;-7.2928400000001;13.0467829184;1.0174874176;-11.4520812224;16.2893126208
1551985200;"07.03.2019 19:00";0.4482992;-6.63912768;8.5223064;1.8500638592;-7.1925682880001;13.1987704832;1.4882227136;-10.023980064;16.355105536
1551988800;"07.03.2019 20:00";0.55149232;-6.90776;8.6140048;2.4111297408;-7.0891854464001;13.3554763968;1.2545663552;-9.2567782912001;14.3066850496
1551992400;"07.03.2019 21:00";0.48553968;-7.27213936;8.8420048;2.9557473984;-6.9889137344001;13.5074639616;0.83794442879999;-8.9201882752001;13.1692374464
1551996000;"07.03.2019 22:00";0.5784072;-7.48783728;9.0603704;3.0055274496;-7.0895182656001;13.7910076544;0.41605070079998;-8.5598629504001;12.6001015168
1551999600;"07.03.2019 23:00";0.67158111999999;-7.63419632;9.274136;3.0567872832;-7.1932097344001;14.0830758784;0.03071871359998;-8.5573538944001;12.1555612544
1552003200;"08.03.2019 00:00";0.80638815999999;-7.67968224;9.3684688;3.1064689344;-7.2938142656001;14.3665211712;0.014864735999967;-8.5879705088001;12.0386695168
1552006800;"08.03.2019 01:00";0.99436175999999;-7.78367488;9.5162016;3.2984772672;-7.5802748608001;14.815775488;0.03819594239997;-8.9176133504001;12.5792320576
1552010400;"08.03.2019 02:00";0.83698847999999;-7.84913488;9.5779016;3.4962083328;-7.8754370048001;15.278612416;0.060813183999972;-9.3599345536001;13.2523659904
1552014000;"08.03.2019 03:00";0.71314847999999;-8.0103272;9.6896016;3.6882166656;-8.1618976000001;16.0175619776;0.37288249599997;-9.6390132544001;13.7062409792
1552017600;"08.03.2019 04:00";0.84724143999999;-7.9595464;9.6903328;3.6714418432;-8.3294482816001;16.3405135744;1.1588079552;-9.2058186496001;13.7193067328
1552021200;"08.03.2019 05:00";0.87839439999999;-7.97807344;9.7129984;3.6541568896;-8.5020501184001;16.6732763776;1.772820096;-8.1596669120001;13.1735653376
1552024800;"08.03.2019 06:00";0.6089808;-8.00252272;9.6837984;3.6373804672;-8.6695842688001;16.9962266432;2.5029916288;-7.9214957952001;12.0659052032
1552028400;"08.03.2019 07:00";0.089347200000003;-7.7340448;9.2845656;2.0317766016;-8.6115812032001;16.5296549248;1.9699394048;-7.9252680960001;11.9923228864
1552032000;"08.03.2019 08:00";-0.31118623999999;-7.56529888;8.8657312;0.37750519679998;-8.5518927296001;16.048930272;0.57419898239996;-8.0396657664;11.8576082816
1552035600;"08.03.2019 09:00";-0.79449423999998;-7.5582616;8.6305656;-1.2280984;-8.4939563328001;15.5822769536;-0.84675923840004;-8.4460654848;12.118221504
1552039200;"08.03.2019 10:00";-1.25224064;-7.41434864;8.4319656;-2.0396817472;-8.4971736384001;15.943116128;-1.9129065024;-8.7143865664;12.705108224
1552042800;"08.03.2019 11:00";-1.46858;-7.59274416;8.6372656;-2.8758086528;-8.5005542272001;16.314765792;-2.7044662464;-8.95520848;13.3119841856
1552046400;"08.03.2019 12:00";-1.49747376;-7.80059728;8.928164;-3.687392;-8.5037728640001;16.6756049664;-2.2956651456;-9.6119268032;13.5459101632
1552050000;"08.03.2019 13:00";-1.07845312;-7.67847152;8.7427672;-3.1283429952;-8.2615490240001;15.938636256;-2.1121184256;-9.7868464128;14.2281993536
1552053600;"08.03.2019 14:00";-1.3907544;-7.89423888;8.9972688;-2.5522068032;-8.0119894464001;15.1793342976;-2.2758319552;-9.8299078144;14.281561568
1552057200;"08.03.2019 15:00";-1.22593504;-7.86734672;8.9430704;-1.9930761984;-7.7697016000001;13.9544575552;-1.719985888;-9.9632825216;14.3383309248
1552060800;"08.03.2019 16:00";-0.43394927999998;-6.715904;8.6666408;-1.3859875264;-7.7277161280001;13.7724233216;-0.31304289280003;-9.818801216;14.2084368
1552064400;"08.03.2019 17:00";0.24317680000001;-6.24010864;8.1058392;-0.76045967360003;-7.6844008064001;13.5849680128;1.3834627712;-9.4804669376;13.79375424
1552068000;"08.03.2019 18:00";0.6277368;-5.98364064;7.9234704;-0.15338886400005;-7.6424153344001;13.4029991168;2.5941979904;-8.5731651712001;13.4660392
1552071600;"08.03.2019 19:00";0.88614432;-6.29725728;8.1908328;1.001957184;-7.2534159680001;13.2075384448;2.6302151296;-7.6441951680001;12.4001715712
1552075200;"08.03.2019 20:00";0.76489184;-6.09107664;7.8666;2.1922658176;-6.8525631616001;13.0060405504;2.3173784;-6.9717064832001;11.2916481152
1552078800;"08.03.2019 21:00";0.68065888;-6.01669664;7.7475328;3.3475286656;-6.4635472640001;12.8105646784;2.0063927296;-6.7708148544001;10.3010946752
1552082400;"08.03.2019 22:00";0.61635904;-5.895496;7.4455984;3.4139652096;-5.9163650112001;12.0465112896;1.8031774336;-6.2582708736001;9.8875985344001
1552086000;"08.03.2019 23:00";0.56135232;-5.80262112;7.2188656;3.4824245888;-5.3526460544001;11.2593699712;1.356644832;-5.7712100992001;9.1278453056001
1552089600;"09.03.2019 00:00";0.47347216;-5.60118032;6.9101968;3.548860864;-4.8054635328001;10.4953016512;1.486588512;-5.4889604544001;8.5113747584001
1552093200;"09.03.2019 01:00";0.59047232;-5.45012608;6.6993592;3.1179023936;-4.7401784320001;10.1322377984;1.1454325248;-4.9094359680001;8.2161849536001
1552096800;"09.03.2019 02:00";0.26159248;-5.28657296;6.3984592;2.6739434752;-4.6729799680001;9.7581922240001;0.68648838399996;-4.4326789248001;7.4250140160001
1552100400;"09.03.2019 03:00";0.10306608;-5.11221248;6.0900232;2.2429860672;-4.6077932672001;9.1972658816001;0.15693898239996;-4.4748361920001;6.6223519488001
1552104000;"09.03.2019 04:00";0.11461967999999;-4.94335856;5.9270232;1.5267852288;-4.4354196096001;8.7719054400001;-0.016482592000048;-4.7179756672001;6.9314623872001
1552107600;"09.03.2019 05:00";0.046412959999994;-4.77113968;5.7425264;0.78876397439997;-4.2578508544001;8.3336827200001;0.026194579199955;-4.6298682112001;7.0020955008001
1552111200;"09.03.2019 06:00";-0.4499272;-4.6536632;5.6790312;0.072547667199975;-4.0855577344001;7.9083878848001;-0.24843428480003;-5.107253408;7.0406028416001
1552114800;"09.03.2019 07:00";-1.09320176;-4.93473248;5.5397328;-1.5720559168;-4.5427035584001;9.6983878720001;-1.5020706176;-5.3314928832;7.8781264256
1552118400;"09.03.2019 08:00";-1.5690952;-4.74673568;5.6023672;-3.266510816;-5.0137921728001;11.5427377152;-3.094103168;-5.2327376704;8.7197653824
1552122000;"09.03.2019 09:00";-1.9457024;-4.49220288;5.3998328;-4.9112128;-5.4710185344001;13.3327211712;-4.2553168704;-4.8291933952;9.4429414656
1552125600;"09.03.2019 10:00";-2.19439584;-4.11478272;5.2892328;-4.6789783616;-5.0909014528001;12.8691350272;-4.4945137664;-4.135484896;9.389611296
1552129200;"09.03.2019 11:00";-2.3678488;-3.85110336;5.1655328;-4.4398035072;-4.6992494784001;12.3915251328;-3.7599454592;-2.7110900672;8.9282386752
1552132800;"09.03.2019 12:00";-2.47297536;-3.6556776;5.0560016;-4.2076674688;-4.3191313344001;11.9279224576;-3.011525984;-1.639562432;7.3053066944
1552136400;"09.03.2019 13:00";-2.29244192;-3.2826312;4.6435016;-3.3461644736;-3.8548252736001;10.8356854656;-2.2103635584;-0.912704224;5.9788672
1552140000;"09.03.2019 14:00";-2.25010896;-3.22686544;4.6151704;-2.458613792;-3.3763460608001;9.7103675136;-1.8193343168;-0.6067909248;4.429783136
1552143600;"09.03.2019 15:00";-2.07209712;-3.1496648;4.4948064;-1.5971929344;-2.9119581312001;6.317795872;-1.390734784;-0.322038496;3.7015930752
1552147200;"09.03.2019 16:00";-1.54395808;-2.74322944;3.7236344;-1.2768461888;-3.6445934528001;7.2191370624;-0.3838571904;-0.3011472832;2.74466912
1552150800;"09.03.2019 17:00";-0.86347071999999;-3.1065488;3.8770032;-0.94687707520001;-4.3993275520001;8.1478123584;0.43723717119999;-1.2591724864;2.539413856
1552154400;"09.03.2019 18:00";-0.21020319999999;-3.37902608;3.8657656;-0.62653059840002;-5.1318985984001;9.0491535488;0.10633195519999;-3.0774795648;4.2441981376
1552158000;"09.03.2019 19:00";-0.15677024;-3.28038512;3.8694984;0.22335799679998;-4.6808560960001;8.5839349504;0.68576824959998;-3.6666976128;5.5804808384
1552161600;"09.03.2019 20:00";-0.051723679999999;-3.73989024;4.3269968;1.099063136;-4.2160777024001;8.1046332608;0.99546683519997;-3.6251821952;5.921643968
1552165200;"09.03.2019 21:00";0.21696288;-4.09094256;4.6224296;1.9490336;-3.7650368000001;7.6393341248001;0.83445761279997;-3.396848512;5.7406009536
1552168800;"09.03.2019 22:00";0.25390288;-4.33252896;4.9440624;1.7174198912;-3.7308078080001;7.4517298752001;0.82291240319996;-3.483569088;5.3833792448
1552172400;"09.03.2019 23:00";0.27200304;-4.5046688;5.1815936;1.478826976;-3.6955545216001;7.2585172224001;0.96073215359996;-3.6682758592;5.640380448
