ts,wind_speed,wind_direction,wind_gust
1513425600,2.262812,231.958054,2.229316
1513436400,1.136362,230.914841,1.34684
1513447200,1.339671,160.348572,1.545079
1513458000,2.094882,201.856583,2.3
1513468800,2.345454,181.160492,2.778222
1513479600,2.387297,177.10022,2.716626
1513490400,1.780039,183.981812,2.121194
1513501200,1.700945,253.781677,1.548437
1513512000,2.20681,297.104401,2.2
1513522800,1.916506,304.813019,2.068005
1513533600,0.648706,289.384125,0.882309
1513544400,0.860043,217.696335,1.06546
1513555200,0.895078,156.982742,1.152016
1513566000,1.325235,196.894928,1.709766
1513576800,1.967776,175.100433,2.390296
1513587600,1.908262,223.92009,2.035553
1513598400,1.555305,280.668732,1.619824
1513609200,2.265579,321.78479,2.624379
1513620000,0.927712,338.40387,1.254102
1513630800,0.105353,265.151886,0.25486
1513641600,1.306924,186.238342,1.632124
1513652400,0.67299,196.949219,0.850472
1513663200,0.79612,176.77771,1.021652
1513674000,1.700303,247.132874,1.639673
1513684800,2.323809,312.252319,2.8
1513695600,1.606437,309.070313,2.060082
1513706400,0.969968,347.388916,1.405359
1513717200,0.656709,359.587402,1.049255
1513728000,0.288671,9.108057,0.627213
1513738800,1.455812,10.074695,2.048136
1513749600,2.12816,5.798534,2.744559
1513760400,3.630779,327.087524,4.476382
1513771200,4.178967,325.701874,5.010696
1513782000,2.067743,312.712006,2.538647
1513792800,0.745037,341.888916,1.01619
1513803600,1.222698,351.679718,1.628792
1513814400,0.618408,329.118683,1.017726
1513825200,0.403664,320.159058,0.818096
1513836000,0.685334,344.606354,1.035873
1513846800,2.664545,314.519165,3.039728
1513857600,3.190708,318.209869,3.702985
1513868400,1.553188,321.475372,2.000704
1513879200,0.351726,352.023376,0.526262
1513890000,0.590204,350.534546,0.823581
1513900800,0.743791,8.398065,1.114324
1513911600,1.309356,358.164612,1.721191
1513922400,1.205751,342.336578,1.700125
1513933200,2.827031,320.304291,3.306382
1513944000,3.917386,323.114502,4.53772
1513954800,2.117225,323.732788,2.604884
1513965600,1.529936,357.153992,1.918929
1513976400,1.381297,345.670715,1.841505
1513987200,1.460458,350.158112,1.929303
1513998000,1.732025,348.891296,2.224219
1514008800,2.087714,349.292206,2.43137
1514019600,3.569399,323.766785,4.000067
1514030400,4.20622,319.15918,4.715341
1514041200,2.834724,313.726318,3.133385
1514052000,1.658882,323.665894,2.07328
1514062800,2.044194,304.985992,2.379701
1514073600,2.03249,290.595459,2.406506
1514084400,1.882271,282.095184,2.223415
1514095200,2.472562,299.965485,3.068785
1514106000,4.644608,300.448364,5
1514116800,5.351448,304.304077,5.706987
1514127600,5.063646,229.307953,5.528748
1514138400,5.879678,200.279694,7.255138
1514149200,6.210338,185.151413,6.894032
1514160000,7.313358,179.749084,8.134635
1514170800,7.994428,185.655457,8.934527
1514181600,8.60804,182.337341,9.424219
1514192400,8.257468,187.515747,8.824219
1514203200,9.414831,191.37355,10.130064
1514214000,8.826198,178.041138,10.773043
1514224800,7.55076,166.739487,9.713145
1514235600,7.14788,165.193176,8.922412
1514246400,6.564115,167.769516,8.108913
1514257200,5.920194,171.10199,7.319531
1514268000,5.367839,175.545731,6.528802
1514278800,4.989892,193.301956,5.112212
1514289600,3.301209,196.788361,3.314519
1514300400,2.613367,187.66481,3.050883
1514311200,2.844727,193.375092,3.11532
1514322000,3.516955,185.230301,3.947419
1514332800,3.940512,179.2379,4.460129
1514343600,4.517822,178.68544,5.03996
1514354400,4.06974,175.963226,4.619531
1514365200,3.261205,208.099182,2.909183
1514376000,2.316476,245.757355,2.400171
1514386800,1.850286,237.01149,2.024121
1514397600,1.107545,211.113647,1.310952
1514408400,0.9014,245.949158,1.106638
1514419200,0.444092,256.624298,0.719836
1514430000,0.333658,259.999542,0.645867
1514440800,0.71068,234.23056,0.94098
1514451600,2.278101,266.01297,2.308908
1514462400,2.850671,292.809174,3.1
1514473200,1.645776,281.851501,1.800244
1514484000,0.538824,322.154663,0.800061
1514494800,1.21331,4.443457,1.560292
1514505600,1.248223,8.493335,1.758493
1514516400,1.404891,330.255341,1.725161
1514527200,1.183338,301.677277,1.518214
1514538000,2.792729,310.354797,3.3
1514548800,3.826153,316.510773,4.218194
1514559600,2.766437,297.784119,3.024744
1514570400,1.433143,293.250153,1.628361
1514581200,1.366211,276.335815,1.637175
1514592000,1.746778,263.74646,2.119547
1514602800,2.172121,240.778976,2.602813
1514613600,4.769935,212.860626,4.849348
1514624400,5.957627,216.964462,5.73591
1514635200,5.04058,223.713516,5.336042
1514646000,3.603285,229.586472,4.109769
1514656800,4.674352,203.100052,5.835668
1514667600,5.315885,189.865616,6.707103
1514678400,5.349007,190.924545,6.533392
1514689200,4.536974,192.889389,5.202984
1514700000,4.314456,190.832169,4.844347
1514710800,5.448195,226.697952,4.418758
1514721600,6.515064,238.713867,5.626569
1514732400,5.556854,226.225998,5.778457
1514743200,5.137831,184.276672,5.454311
1514754000,3.982421,182.024094,4.137521
1514764800,3.435601,168.999451,3.703613
1514775600,3.246855,170.629364,3.514788
1514786400,4.407579,178.066101,4.316068
1514797200,3.741393,190.992264,5.119531
1514808000,3.281555,220.84967,5.337622
1514818800,6.23406,193.914413,6.459744
1514829600,5.220926,171.211594,6.700086
1514840400,4.982994,178.596512,5.72046
1514851200,5.12138,178.839355,5.638227
1514862000,5.179069,180.75795,5.65553
1514872800,4.51199,181.363052,4.85752
1514883600,3.940823,208.089661,3.808603
1514894400,3.552602,230.84256,3.34662
1514905200,2.771491,227.564651,3.359875
1514916000,3.241128,194.527908,3.843603
1514926800,3.255144,188.99855,3.819531
1514937600,3.493862,193.65155,4.001922
1514948400,3.674239,189.487244,4.3171
1514959200,3.270979,193.591217,3.717287
1514970000,2.994794,237.701035,2.501694
1514980800,3.265121,277.788239,2.85
1514991600,3.077427,295.658997,3.127246
1515002400,2.322742,289.29776,2.545009
1515013200,2.416682,259.485565,2.631592
1515024000,3.024241,224.22023,3.356462
